frame,time_s,x_m,q1_rad,q1_deg,q2_raw_rad,q2_raw_deg
68,1.133333333,-0.547411056,0.2902506,16.63013437,-0.982007856,-56.26490562
69,1.15,-0.56680307,0.25698162,14.72396226,-1.048581935,-60.07931933
70,1.166666667,-0.586473556,0.223710369,12.81765995,-1.115158851,-63.89389566
71,1.183333333,-0.606008621,0.190529916,10.91656005,-1.18161384,-67.70148602
72,1.2,-0.625715347,0.157279266,9.011438165,-1.248164508,-71.51455844
73,1.216666667,-0.645687194,0.124025695,7.106148891,-1.314719682,-75.32788905
74,1.233333333,-0.665504547,0.090781121,5.201375117,-1.381266154,-79.14072101
75,1.25,-0.685045333,0.057535649,3.29654985,-1.447812726,-82.95355872
76,1.266666667,-0.704740615,0.024280011,1.391142132,-1.514369315,-86.76697037
77,1.283333333,-0.724712463,-0.008975615,-0.514264833,-1.580924421,-90.58029703
78,1.3,-0.744962783,-0.042233106,-2.419778741,-1.64748207,-94.39376946
79,1.316666667,-0.764951797,-0.009364353,-0.536537884,-1.648060215,-94.4268947
80,1.333333333,-0.786239715,-0.04212899,-2.413813319,-1.714011239,-98.20561002
81,1.35,-0.806339355,-0.009337388,-0.534992909,-1.71467412,-98.24359033
82,1.366666667,-0.827642532,-0.041996036,-2.406195625,-1.780510659,-102.0157461
83,1.383333333,-0.848161789,-0.009328401,-0.534477991,-1.781306108,-102.061322
84,1.4,-0.86959848,-0.041858963,-2.398341942,-1.84700594,-105.8256451
85,1.416666667,-0.889654251,-0.010656026,-0.610545303,-1.782747194,-102.1438901
86,1.433333333,-0.910554977,-0.04181814,-2.396002921,-1.846938404,-105.8217756
87,1.45,-0.930053802,-0.010614831,-0.608185018,-1.782679593,-102.1400169
88,1.466666667,-0.95039949,-0.041776567,-2.393620971,-1.846870277,-105.8178722
89,1.483333333,-0.969638916,-0.009211554,-0.527783175,-1.847776862,-105.8698157
90,1.5,-0.989774795,-0.041632753,-2.385381025,-1.913359894,-109.6274466
91,1.516666667,-1.0084897,-0.010579253,-0.606146567,-1.849259055,-105.9547391
92,1.533333333,-1.028102966,-0.041587436,-2.382784578,-1.913288497,-109.6233559
93,1.55,-1.04629335,-0.009117927,-0.522418733,-1.914297736,-109.681181
94,1.566666667,-1.065332504,-0.041431264,-2.37383657,-1.979764826,-113.432169
95,1.583333333,-1.082908721,-0.010520081,-0.602756216,-1.915814806,-109.7681027
96,1.6,-1.101436706,-0.041382201,-2.371025485,-1.979690397,-113.4279045
97,1.616666667,-1.118505569,-0.009017184,-0.516646605,-1.980812612,-113.4922027
98,1.633333333,-1.13638124,-0.041992665,-2.406002474,-1.980407199,-113.4689742
99,1.65,-1.152942749,-0.008937039,-0.512054644,-1.98069866,-113.4856737
100,1.666666667,-1.170234771,-0.041673203,-2.387698679,-1.97993705,-113.4420367
101,1.683333333,-1.18622789,-0.00860223,-0.492871468,-1.980201472,-113.4571869
102,1.7,-1.202997299,-0.041557101,-2.381046518,-1.979767713,-113.4323344
103,1.716666667,-1.218429657,-0.008488754,-0.486369761,-1.980035513,-113.4476782
104,1.733333333,-1.234655471,-0.041427893,-2.373643421,-1.979581005,-113.4216368
105,1.75,-1.249538513,-0.008361421,-0.479074133,-1.979852826,-113.437211
106,1.766666667,-1.265211196,-0.041288572,-2.365660901,-1.979382853,-113.4102835
107,1.783333333,-1.279544921,-0.008221355,-0.471048916,-1.979654205,-113.4258308
